Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
littler,/Users/hamedbh/Library/R/3.x/library,0.3.2,NA,NA,NA,NA,"knitr, docopt, rcmdcheck",NA,GPL (>= 2),NA,NA,unix,NA,yes,3.4.2
lme4,/Users/hamedbh/Library/R/3.x/library,1.1-14,NA,"R (>= 3.0.2), Matrix (>= 1.1.1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, nlme
(>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, boot, PKPDmodels, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
lmtest,/Users/hamedbh/Library/R/3.x/library,0.9-35,NA,"R (>= 2.10.0), stats, zoo",graphics,NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.1
loo,/Users/hamedbh/Library/R/3.x/library,1.1.0,NA,R (>= 3.1.2),"graphics, matrixStats (>= 0.50.0), parallel, stats",NA,"knitr, rmarkdown, rstan, rstanarm, testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.3.3
lpSolve,/Users/hamedbh/Library/R/3.x/library,5.6.13,NA,NA,NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.4.1
lsmeans,/Users/hamedbh/Library/R/3.x/library,2.27-2,NA,"estimability, methods, R (>= 3.2)","graphics, stats, utils, nlme, coda (>= 0.17), multcomp, plyr,
mvtnorm, xtable (>= 1.8-2)",NA,"car, lattice, MCMCpack, mediation, multcompView, ordinal,
pbkrtest (>= 0.4-1), CARBayes, coxme, gee, geepack, glmmADMB,
lme4.0, lme4, lmerTest (>= 2.0.32), MASS, MCMCglmm, nnet, pscl,
rsm, rstan, rstanarm, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,no,3.4.1
lubridate,/Users/hamedbh/Library/R/3.x/library,1.6.0,NA,"methods, R (>= 3.0.0)",stringr,NA,"testthat, knitr, covr","chron, timeDate, zoo, xts, its, tis, timeSeries, fts, tseries",GPL-2,NA,NA,NA,NA,yes,3.3.3
magick,/Users/hamedbh/Library/R/3.x/library,1.3,NA,NA,"Rcpp (>= 0.12.12), magrittr, curl",Rcpp,"knitr, rmarkdown, rsvg, webp, png, pdftools, ggplot2, raster,
rgdal, gapminder, tesseract",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.2
magrittr,/Users/hamedbh/Library/R/3.x/library,1.5,NA,NA,NA,NA,"testthat, knitr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.0
manipulate,/Users/hamedbh/Library/R/3.x/library,1.0.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.3.2
mapdata,/Users/hamedbh/Library/R/3.x/library,2.2-6,NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
mapproj,/Users/hamedbh/Library/R/3.x/library,1.2-5,NA,maps (>= 2.3-0),"stats, graphics",NA,NA,NA,Lucent Public License,NA,NA,NA,NA,yes,3.4.1
maps,/Users/hamedbh/Library/R/3.x/library,3.2.0,NA,R (>= 2.14.0),"graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.2-4), sp, maptools",NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
maptools,/Users/hamedbh/Library/R/3.x/library,0.9-2,NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.18), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo",GPL (>= 2),NA,NA,NA,NA,yes,3.3.3
markdown,/usr/local/lib/R/site-library,0.7.7,NA,R (>= 2.11.1),mime (>= 0.3),NA,"knitr, RCurl",NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
matlib,/Users/hamedbh/Library/R/3.x/library,0.8.1,NA,NA,"rgl, car",NA,"MASS, knitr, rglwidget, rmarkdown, xtable",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
matrixStats,/Users/hamedbh/Library/R/3.x/library,0.52.2,NA,R (>= 2.12.0),NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.3.3
maxLik,/Users/hamedbh/Library/R/3.x/library,1.3-4,NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods",sandwich,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.0
memoise,/Users/hamedbh/Library/R/3.x/library,1.1.0,NA,NA,digest (>= 0.6.3),NA,"testthat, aws.s3, httr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.3
methods,/Users/hamedbh/Library/R/3.x/library,3.3.1,base,NA,"utils, stats",NA,codetools,NA,Part of R 3.3.1,NA,NA,NA,NA,NA,3.3.1
mgcv,/usr/local/Cellar/r/3.4.2/lib/R/library,1.8-20,recommended,"R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix",NA,"splines, parallel, survival, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
microbenchmark,/Users/hamedbh/Library/R/3.x/library,1.4-2.1,NA,NA,"graphics, ggplot2, stats",NA,multcomp,NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.3.3
mime,/usr/local/lib/R/site-library,0.4,NA,NA,tools,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
miniUI,/Users/hamedbh/Library/R/3.x/library,0.1.1,NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.3.2
minqa,/Users/hamedbh/Library/R/3.x/library,1.2.4,NA,NA,Rcpp (>= 0.9.10),Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.2
miscTools,/Users/hamedbh/Library/R/3.x/library,0.6-22,NA,R (>= 2.14.0),NA,NA,Ecdat (>= 0.1-5),NA,GPL (>= 2),NA,NA,NA,NA,no,3.3.3
mlr,/Users/hamedbh/Library/R/3.x/library,2.11,NA,"R (>= 3.0.2), ParamHelpers (>= 1.10)","BBmisc (>= 1.11), backports, ggplot2, stats, stringi,
checkmate (>= 1.8.2), data.table, methods, parallelMap (>=
1.3), survival, utils",NA,"ada, adabag, bartMachine, batchtools, brnn, bst, C50, care,
caret (>= 6.0-57), class, clue, cluster, clusterSim (>=
0.44-5), clValid, cmaes, CoxBoost, crs, Cubist, deepnet,
DiceKriging, DiceOptim, DiscriMiner, e1071, earth, elasticnet,
elmNN, emoa, evtree, extraTrees, flare, fields, FNN, fpc, frbs,
FSelector, gbm, GenSA, ggvis, glmnet, h2o (>= 3.6.0.8), GPfit,
Hmisc, ipred, irace (>= 2.0), kernlab, kknn, klaR, knitr,
kohonen, laGP, LiblineaR, lqa, MASS, mboost, mco, mda, mlbench,
mldr, mlrMBO, modeltools, mRMRe, nnet, nodeHarvest (>= 0.7-3),
neuralnet, numDeriv, pamr, party, penalized (>= 0.9-47), pls,
PMCMR (>= 4.1), pROC (>= 1.8), randomForest, randomForestSRC
(>= 2.2.0), ranger (>= 0.6.0), RCurl, Rfast, rFerns, rjson,
rknn, rmarkdown, robustbase, ROCR, rotationForest, rpart, RRF,
rrlda, rsm, RSNNS, RWeka, sda, shiny, smoof, sparsediscrim,
sparseLDA, stepPlr, SwarmSVM, svglite, testthat, tgp, TH.data,
xgboost (>= 0.6-2), XML",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
mnormt,/Users/hamedbh/Library/R/3.x/library,1.5-5,NA,R (>= 2.2.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.4.0
modelr,/Users/hamedbh/Library/R/3.x/library,0.1.1,NA,R (>= 3.1.0),"magrittr, purrr (>= 0.2.2), lazyeval (>= 0.2.0), tibble,
broom, dplyr, tidyr (>= 0.6.0)",NA,"testthat, ggplot2, covr, compiler",NA,GPL-3,NA,NA,NA,NA,no,3.4.1
moments,/Users/hamedbh/Library/R/3.x/library,0.14,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.0
multcomp,/Users/hamedbh/Library/R/3.x/library,1.4-7,NA,"stats, graphics, mvtnorm (>= 1.0-3), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, car,
foreign, xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR",NA,GPL-2,NA,NA,NA,NA,no,3.4.2
munsell,/Users/hamedbh/Library/R/3.x/library,0.4.3,NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.0
mvnfast,/Users/hamedbh/Library/R/3.x/library,0.2.2,NA,NA,Rcpp (>= 0.12.0),"Rcpp, RcppArmadillo, BH","knitr, testthat, mvtnorm, microbenchmark, MASS, plyr,
RhpcBLASctl",NA,GPL (>= 2.0),NA,NA,NA,NA,yes,3.4.2
mvtnorm,/Users/hamedbh/Library/R/3.x/library,1.0-6,NA,R(>= 1.9.0),"stats, methods",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.4.1
neuralnet,/Users/hamedbh/Library/R/3.x/library,1.33,NA,R (>= 2.9.0),"grid, MASS, grDevices, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
ngramrr,/Users/hamedbh/Library/R/3.x/library,0.2.0,NA,R (>= 3.0.0),"tm, tau",NA,"testthat, magrittr",NA,GPL-2,NA,NA,NA,NA,no,3.4.0
nlme,/usr/local/Cellar/r/3.4.2/lib/R/library,3.1-131,recommended,R (>= 3.0.2),"graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.4.2
nloptr,/Users/hamedbh/Library/R/3.x/library,1.0.4,NA,NA,NA,NA,testthat (>= 0.8.1),NA,LGPL-3,NA,NA,NA,NA,yes,3.3.0
nnet,/Users/hamedbh/Library/R/3.x/library,7.3-12,recommended,"R (>= 2.14.0), stats, utils",NA,NA,MASS,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.1
numDeriv,/Users/hamedbh/Library/R/3.x/library,2016.8-1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.4.2
nycflights13,/Users/hamedbh/Library/R/3.x/library,0.2.2,NA,R (>= 2.10),tibble,NA,dplyr,NA,CC0,NA,NA,NA,NA,no,3.3.3
openssl,/Users/hamedbh/Library/R/3.x/library,0.9.7,NA,NA,NA,NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.2
packrat,/Users/hamedbh/Library/R/3.x/library,0.4.8-1,NA,R (>= 3.0.0),"tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",BiocInstaller,GPL-2,NA,NA,NA,NA,no,3.3.3
pacman,/Users/hamedbh/Library/R/3.x/library,0.4.6,NA,R (>= 3.0.2),"devtools (>= 1.13.0), methods, stats, utils",NA,"knitr, lattice, testthat (>= 0.9.0), XML",NA,GPL-2,NA,NA,NA,NA,no,3.4.1
padr,/Users/hamedbh/Library/R/3.x/library,0.3.0,NA,R (>= 3.0.0),"Rcpp, dplyr",Rcpp,"lubridate, ggplot2, testthat, knitr, rmarkdown, lazyeval,
tidyr, data.table",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.2
parallel,/Users/hamedbh/Library/R/3.x/library,3.3.1,base,NA,tools,NA,methods,"snow, nws, Rmpi",Part of R 3.3.1,NA,NA,NA,NA,NA,3.3.1
parallelMap,/Users/hamedbh/Library/R/3.x/library,1.3,NA,R (>= 3.0.0),"BBmisc (>= 1.8), checkmate (>= 1.5.1), parallel",NA,"testthat, Rmpi, BatchJobs (>= 1.5)",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,no,3.4.2
pbkrtest,/Users/hamedbh/Library/R/3.x/library,0.4-7,NA,"R (>= 3.2.3), lme4 (>= 1.1.10)","Matrix (>= 1.2.3), parallel, MASS, methods",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
phia,/Users/hamedbh/Library/R/3.x/library,0.2-1,NA,"car, graphics, stats","Matrix, grDevices, methods, utils",NA,"nlme, lme4",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.2
pillar,/Users/hamedbh/Library/R/3.x/library,0.0.0.9000,NA,NA,"crayon,
methods,
rlang",NA,"knitr,
testthat",NA,GPL-3,NA,NA,NA,NA,NA,3.4.2
pkgconfig,/Users/hamedbh/Library/R/3.x/library,2.0.1,NA,NA,utils,NA,"covr, testthat, disposables (>= 1.0.3)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.1
pkgmaker,/Users/hamedbh/Library/R/3.x/library,0.22,NA,"R (>= 3.0.0), stats, registry","methods, tools, codetools, digest, stringr, xtable, grDevices",NA,"devtools (>= 0.8), bibtex, RUnit, testthat, knitr,
ReportingTools, hwriter, argparse",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
plogr,/Users/hamedbh/Library/R/3.x/library,0.1-1,NA,NA,NA,NA,Rcpp,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.3
plotrix,/Users/hamedbh/Library/R/3.x/library,3.6-6,NA,NA,"grDevices, graphics, stats, utils",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
plyr,/usr/local/lib/R/site-library,1.8.3,NA,R (>= 3.1.0),Rcpp (>= 0.11.0),Rcpp,"abind, testthat, tcltk, foreach, doParallel, itertools,
iterators",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.3.0
png,/Users/hamedbh/Library/R/3.x/library,0.1-7,NA,R (>= 2.9.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.0
polyclip,/Users/hamedbh/Library/R/3.x/library,1.6-1,NA,R (>= 3.0.0),NA,NA,NA,NA,BSL,NA,NA,NA,NA,yes,3.3.3
praise,/Users/hamedbh/Library/R/3.x/library,1.0.0,NA,NA,NA,NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.0
processx,/Users/hamedbh/Library/R/3.x/library,2.0.0.1,NA,NA,"assertthat, crayon, debugme, R6, utils",NA,"covr, testthat, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.1
prodlim,/Users/hamedbh/Library/R/3.x/library,1.6.1,NA,R (>= 2.9.0),"Rcpp (>= 0.11.5), stats, graphics, survival, KernSmooth, lava",Rcpp,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
profvis,/Users/hamedbh/Library/R/3.x/library,0.3.3,NA,R (>= 3.0),"htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.4.2
prophet,/Users/hamedbh/Library/R/3.x/library,0.2,NA,"R (>= 3.2.3), Rcpp (>= 0.12.0)","dplyr (>= 0.5.0), extraDistr, ggplot2, grid, rstan (>=
2.14.0), scales, stats, tidyr (>= 0.6.1)",NA,"knitr, testthat, readr",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,3.4.2
proto,/Users/hamedbh/Library/R/3.x/library,1.0.0,NA,NA,NA,NA,"testthat, covr",NA,GPL-2,NA,NA,NA,NA,no,3.3.3
pryr,/Users/hamedbh/Library/R/3.x/library,0.1.2,NA,R (>= 3.1.0),"stringr, codetools, methods, Rcpp (>= 0.11.0)",Rcpp,testthat (>= 0.8.0),NA,GPL-2,NA,NA,NA,NA,yes,3.4.2
pscl,/Users/hamedbh/Library/R/3.x/library,1.5.1,NA,NA,"MASS, datasets, grDevices, graphics, stats, utils",NA,"lattice, MCMCpack, car, lmtest, sandwich, zoo, coda, vcd,
mvtnorm, mgcv",NA,GPL-2,NA,NA,NA,NA,yes,3.4.2
psych,/Users/hamedbh/Library/R/3.x/library,1.7.8,NA,R (>= 2.10),"mnormt,parallel,stats,graphics,grDevices,methods,foreign,lattice,nlme",NA,"GPArotation, lavaan, sem, lme4,Rcsdp, graph, Rgraphviz",NA,GPL (>= 2),NA,NA,NA,NA,no,3.4.2
purrr,/Users/hamedbh/Library/R/3.x/library,0.2.3,NA,NA,"magrittr (>= 1.5), tibble, rlang (>= 0.1)",NA,"covr, dplyr (>= 0.4.3), testthat, knitr, rmarkdown",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.1
purrrlyr,/Users/hamedbh/Library/R/3.x/library,0.0.2,NA,NA,"magrittr (>= 1.5), dplyr (>= 0.4.3), purrr, Rcpp, lazyeval (>=
0.2.0)","Rcpp, BH","testthat, covr",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.4.2
qdapDictionaries,/Users/hamedbh/Library/R/3.x/library,1.0.6,NA,R (>= 3.0.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.4.0
quadprog,/Users/hamedbh/Library/R/3.x/library,1.5-5,NA,R (>= 2.15.0),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
quantmod,/Users/hamedbh/Library/R/3.x/library,0.4-10,NA,"xts(>= 0.9-0), zoo, TTR(>= 0.2), methods",curl,NA,"DBI,RMySQL,RSQLite,timeSeries,XML,downloader,jsonlite(>= 1.1)",NA,GPL-3,NA,NA,NA,NA,yes,3.4.1
quantreg,/Users/hamedbh/Library/R/3.x/library,5.33,NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
rJava,/Users/hamedbh/Library/R/3.x/library,0.9-8,NA,"R (>= 2.5.0), methods",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
randomForest,/Users/hamedbh/Library/R/3.x/library,4.6-12,NA,"R (>= 2.5.0), stats",NA,NA,"RColorBrewer, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.1
rappdirs,/Users/hamedbh/Library/R/3.x/library,0.3.1,NA,"R (>= 2.14), methods",NA,NA,"testthat, roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.4.1
raster,/Users/hamedbh/Library/R/3.x/library,2.5-8,NA,"methods, sp (>= 1.2-0), R (>= 3.0.0)",Rcpp,Rcpp,"rgdal (>= 0.9-1), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.3.0
ratelimitr,/Users/hamedbh/Library/R/3.x/library,0.3.9,NA,NA,assertthat,NA,"testthat, microbenchmark, knitr, rmarkdown, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.1
rcorpora,/Users/hamedbh/Library/R/3.x/library,1.2.0,NA,NA,"jsonlite, utils",NA,NA,NA,CC0,NA,NA,NA,NA,no,3.3.0
readr,/Users/hamedbh/Library/R/3.x/library,1.1.1,NA,R (>= 3.0.2),"Rcpp (>= 0.12.0.5), tibble, hms, R6","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.4.1
readxl,/Users/hamedbh/Library/R/3.x/library,1.0.0,NA,NA,"cellranger, Rcpp (>= 0.11.6), tibble (>= 1.1)",Rcpp,"covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,GPL-3,NA,NA,NA,NA,yes,3.4.0
recipes,/Users/hamedbh/Library/R/3.x/library,0.1.0,NA,"R (>= 3.2.3), dplyr","tibble, stats, ipred, dimRed (>= 0.1.0), lubridate, timeDate,
ddalpha, purrr, rlang (>= 0.1.1), gower, RcppRoll, tidyselect
(>= 0.1.1), magrittr",NA,"testthat, rpart, kernlab, fastICA, RANN, igraph, knitr,
caret, ggplot2, rmarkdown",NA,GPL-2,NA,NA,NA,NA,no,3.4.2
registry,/Users/hamedbh/Library/R/3.x/library,0.3,NA,R (>= 2.6.0),utils,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.4.2
rematch,/Users/hamedbh/Library/R/3.x/library,1.0.1,NA,NA,NA,NA,"covr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.3
replyr,/Users/hamedbh/Library/R/3.x/library,0.5.3,NA,NA,"wrapr (>= 0.4.0), dplyr (>= 0.5.0), DBI, RSQLite",NA,"testthat, knitr, rmarkdown, sparklyr (>= 0.6.2), ggplot2,
RPostgreSQL, DiagrammeR, igraph, htmlwidgets, webshot, magick,
grid",NA,GPL-3,NA,NA,NA,NA,no,3.4.2
reprex,/Users/hamedbh/Library/R/3.x/library,0.1.1,NA,R (>= 3.0.2),"callr, clipr (>= 0.3.0), knitr, rmarkdown, tools, utils,
whisker",NA,"covr, devtools, formatR, fortunes, miniUI, rstudioapi, shiny,
shinyjs, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.0
reshape2,/usr/local/lib/R/site-library,1.4.1,NA,NA,"plyr (>= 1.8.1), stringr, Rcpp",Rcpp,"testthat (>= 0.8.0), lattice",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.3.0
reticulate,/Users/hamedbh/Library/R/3.x/library,1.2,NA,R (>= 3.0),"utils, graphics, jsonlite, Rcpp (>= 0.12.7)",Rcpp,"testthat, knitr",NA,Apache License 2.0,NA,NA,NA,NA,yes,3.4.2
rex,/Users/hamedbh/Library/R/3.x/library,1.1.1,NA,NA,"magrittr, lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, lintr, Hmisc,
stringr, rvest, roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.3.0
rgdal,/Users/hamedbh/Library/R/3.x/library,1.2-12,NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils",sp,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
rgeos,/Users/hamedbh/Library/R/3.x/library,0.3-25,NA,R (>= 3.3.0),"methods, sp (>= 1.1-0), utils, stats, graphics",sp,"maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
rgl,/usr/lib/R/site-library,0.95.1441,NA,R (>= 2.15.0),"graphics, grDevices, stats, utils",NA,"MASS, rglwidget (>= 0.1.1427), knitr, rmarkdown",NA,GPL,NA,NA,NA,NA,yes,3.2.3
rglwidget,/Users/hamedbh/Library/R/3.x/library,0.2.1,NA,NA,rgl (>= 0.96.0),NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.3.0
rjags,/usr/lib/R/site-library,4-5,NA,"R (>= 2.14.0), coda (>= 0.13)",NA,NA,tcltk,NA,GPL (== 2),NA,NA,NA,NA,yes,3.2.3
rjson,/Users/hamedbh/Library/R/3.x/library,0.2.15,NA,R (>= 3.1.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.3.0
rlang,/Users/hamedbh/Library/R/3.x/library,0.1.2,NA,R (>= 3.1.0),NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,GPL-3,NA,NA,NA,NA,yes,3.4.1
rmarkdown,/usr/local/lib/R/site-library,0.9.6,NA,R (>= 3.0),"tools, utils, grDevices, knitr (>= 1.12), yaml (>= 2.1.5),
htmltools (>= 0.2.4), caTools",NA,"shiny (>= 0.11), tufte, testthat, digest",NA,GPL-3,NA,NA,NA,NA,no,3.3.0
rngtools,/Users/hamedbh/Library/R/3.x/library,1.2.4,NA,"R (>= 3.0.0), methods, pkgmaker (>= 0.20)","stringr, digest",NA,"parallel, RUnit, knitr",NA,GPL-3,NA,NA,NA,NA,no,3.4.2
robotstxt,/Users/hamedbh/Library/R/3.x/library,0.4.1,NA,R (>= 3.0.0),"stringr (>= 1.0.0), httr (>= 1.0.0), magrittr",NA,"knitr, rmarkdown, dplyr, testthat, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.2
robustbase,/Users/hamedbh/Library/R/3.x/library,0.92-7,NA,R (>= 3.0.2),"stats, graphics, utils, methods, DEoptimR",NA,"grid, MASS, lattice, boot, cluster, Matrix, robust,
fit.models, MPV, xtable, ggplot2, GGally, RColorBrewer,
reshape2, sfsmisc, catdata",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.2
roxygen2,/Users/hamedbh/Library/R/3.x/library,6.0.1,NA,R (>= 3.0.2),"stringr (>= 0.5), stringi, brew, digest, methods, Rcpp (>=
0.11.0), R6, desc, commonmark, xml2, utils",Rcpp,"testthat (>= 0.8.0), knitr, devtools, rmarkdown, covr",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.4.0
rpart,/Users/hamedbh/Library/R/3.x/library,4.1-11,recommended,"R (>= 2.15.0), graphics, stats, grDevices",NA,NA,survival,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.3.3
rprojroot,/Users/hamedbh/Library/R/3.x/library,1.2,NA,R (>= 3.0.0),backports,NA,"testthat, knitr, withr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,no,3.3.3
rsconnect,/Users/hamedbh/Library/R/3.x/library,0.8.5,NA,R (>= 3.0.0),"digest, PKI, RCurl, RJSONIO, packrat (>= 0.4.8-1), yaml (>=
2.1.5), rstudioapi (>= 0.5)",NA,"scrypt, knitr, testthat, rmarkdown (>= 1.1), plumber (>=
0.3.2)",BiocInstaller,GPL-2,NA,NA,NA,NA,no,3.4.1
rstan,/Users/hamedbh/Library/R/3.x/library,2.16.2,NA,"R (>= 3.0.2), ggplot2 (>= 2.0.0), StanHeaders (>= 2.16.0)","methods, stats4, inline, gridExtra (>= 2.0.0), Rcpp (>=
0.12.0)","Rcpp (>= 0.12.0), RcppEigen (>= 0.3.3.3.0) , BH (>= 1.62),
StanHeaders (>= 2.16.0)","RUnit, RcppEigen (>= 0.3.3.3.0), BH (>= 1.62), parallel,
KernSmooth, loo (>= 1.0.0), shinystan (>= 2.2.1), bayesplot,
rstantools, rstudioapi, Matrix, knitr (>= 1.15.1)",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.4.1
rstantools,/Users/hamedbh/Library/R/3.x/library,1.3.0,NA,NA,"stats, utils",NA,"bayesplot (>= 1.2.0), rstan (>= 2.16.0), rstanarm (>=
2.15.3), shinystan (>= 2.3.0), loo (>= 1.1.0), testthat, covr,
knitr, rmarkdown",NA,GPL (>= 3),NA,NA,NA,NA,no,3.4.1
rstudioapi,/Users/hamedbh/Library/R/3.x/library,0.7,NA,NA,NA,NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.4.2
rvest,/Users/hamedbh/Library/R/3.x/library,0.3.2,NA,"R (>= 3.0.1), xml2","httr (>= 0.5), selectr, magrittr",NA,"testthat, knitr, png, stringi (>= 0.3.1), rmarkdown, covr",NA,GPL-3,NA,NA,NA,NA,no,3.3.0
